rows_compared,mean_best_similarity,median_best_similarity,public_mean_best_similarity,private_mean_best_similarity,queries_with_match_ge_0.50,queries_with_match_ge_0.35,repo_id,files
50000,0.28034945615609497,0.2649159596035915,0.23896015844629095,0.321738753865899,3,9,AI-MO/NuminaMath-CoT,data/test-00000-of-00001.parquet;data/train-00000-of-00005.parquet
12487,0.2309625606488715,0.2088230771457718,0.20087384731389468,0.26105127398384825,1,5,qwedsacf/competition_math,data/train-00000-of-00001-7320a6f3aba8ebd2.parquet
12487,0.23096256064887144,0.2088230771457718,0.20087384731389468,0.2610512739838482,1,5,EleutherAI/hendrycks_math,algebra/test-00000-of-00001.parquet;algebra/train-00000-of-00001.parquet;counting_and_probability/test-00000-of-00001.parquet;counting_and_probability/train-00000-of-00001.parquet;geometry/test-00000-of-00001.parquet;geometry/train-00000-of-00001.parquet;intermediate_algebra/test-00000-of-00001.parquet;intermediate_algebra/train-00000-of-00001.parquet;number_theory/test-00000-of-00001.parquet;number_theory/train-00000-of-00001.parquet;prealgebra/test-00000-of-00001.parquet;prealgebra/train-00000-of-00001.parquet;precalculus/test-00000-of-00001.parquet;precalculus/train-00000-of-00001.parquet
50000,0.22397994265289878,0.2016615139774649,0.20637664982255477,0.24158323548324284,1,3,LLMcompe-Team-Watanabe/math_AoPS-Instruct_preprocess_fixed,data/train-00000-of-00001.parquet
37036,0.18644915038008997,0.15234936194975646,0.19135688216408242,0.18154141859609754,1,4,allenai/math_qa,default:train;default:test;default:validation
50000,0.1606193875686121,0.14820795143559456,0.1678368521965407,0.1534019229406835,1,1,microsoft/orca-math-word-problems-200k,data/train-00000-of-00001.parquet
17584,0.1323854052552122,0.12239857626934064,0.15029639163844863,0.11447441887197576,0,0,openai/gsm8k,main/test-00000-of-00001.parquet;main/train-00000-of-00001.parquet;socratic/test-00000-of-00001.parquet;socratic/train-00000-of-00001.parquet
980,0.09160764157025175,0.0685191845187765,0.09410462738901157,0.08911065575149195,0,0,di-zhang-fdu/DeepMind_Mathematics_QA,deepmind-mathematics.json
